2026-03-22T01:21:12.414 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:21:12.414 | PROXY | DELAYING PACKET | Delaying client packet to server for: 150 ms
2026-03-22T01:21:12.564 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:21:12.565 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:21:12.565 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:21:12.565 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:21:12.565 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:21:12.565 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:21:12.565 | PROXY | DELAYING ACK | Delaying server ack to client for: 187 ms
2026-03-22T01:21:12.753 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:34:55.805 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T01:34:55.805 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T01:35:01.032 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:01.032 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:01.033 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:01.033 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:35:01.033 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:01.033 | PROXY | DELAYING PACKET | Delaying client packet to server for: 114 ms
2026-03-22T01:35:01.147 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:01.147 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:01.148 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:35:01.148 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:01.148 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:01.148 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:01.148 | PROXY | DELAYING ACK | Delaying server ack to client for: 198 ms
2026-03-22T01:35:01.347 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:35:01.347 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:01.347 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:01.347 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:01.347 | PROXY | DROPPING ACK | Dropping server ack
2026-03-22T01:35:06.462 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:06.462 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:06.462 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:06.462 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:35:06.463 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:06.463 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:06.463 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:06.463 | PROXY | DROPPING ACK | Dropping server ack
2026-03-22T01:35:11.582 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:35:11.582 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:35:11.582 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:35:11.582 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:40:09.679 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T01:40:09.679 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T01:40:27.385 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:40:27.385 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:40:27.385 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:40:27.386 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:40:27.386 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:40:27.386 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:40:27.386 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:40:27.386 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:40:27.386 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:40:27.386 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:40:27.386 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:40:27.386 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:40:27.386 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:40:27.386 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:40:27.386 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:40:27.386 | PROXY | DELAYING ACK | Delaying server ack to client for: 284 ms
2026-03-22T01:40:27.671 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:40:27.671 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:40:27.671 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:40:27.671 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:40:27.671 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:42:30.442 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:42:30.442 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:44:50.527 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T01:44:50.527 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T01:44:57.707 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:44:57.707 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:44:57.707 | PROXY | RECEIVED ACK | Received ack from server
